Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,6,NA,20,23,7,6,9,5,6,3,,,0,0,,1,80,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,7,NA,29,22,6,6,4,5,6,1,,,0,0,,,79,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,8,NA,32,32,4,3,5,3,3,4,,,0,0,,,86,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,UG,NA,4,2,3,,2,,,1,,,0,0,,,12,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,50,Emma C. Attales E.S.,55,NA,85,79,20,15,20,13,15,9,,,0,0,,1,257,58,18,5,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,KF,NA,35,21,6,5,9,5,1,5,,,0,0,1,1,89,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,1,NA,36,36,8,5,5,6,8,3,,,0,0,,1,108,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,2,NA,36,20,4,6,4,4,5,5,,,0,0,,,84,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,3,NA,30,31,4,9,6,4,4,6,,,0,0,,1,95,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,4,NA,30,26,6,7,6,4,7,2,,,0,0,,,88,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,5,NA,27,33,4,6,3,4,6,5,,,0,0,,,88,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,UG,NA,8,6,1,2,6,,2,,,,0,0,,,25,,,,
2010-2011,1,ATLANTIC,10,ABSECON CITY,60,H. Ashton Marsh E.S.,55,NA,202,173,33,40,39,27,33,26,,,0,0,1,3,577,139,35,39,
2010-2011,1,ATLANTIC,10,ABSECON CITY,999,Total,KF,NA,35,21,6,5,9,5,1,5,,,0,0,1,1,89,,,,
