Year,COUNTY_ID,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT,SPECED
2011-2012,1,ATLANTIC,10,Absecon Public Schools,60,H Ashton Marsh,1,NA,33,20,6,6,8,5,1,5,0,0,0,0,1,1,86,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,60,H Ashton Marsh,2,NA,34,40,6,4,6,4,9,4,0,0,0,0,0,1,108,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,60,H Ashton Marsh,3,NA,35,18,4,5,2,6,4,5,0,0,0,0,0,0,79,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,60,H Ashton Marsh,4,NA,30,30,5,6,6,4,5,5,0,0,0,0,0,1,92,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,60,H Ashton Marsh,UG,NA,7,6,4,2,4,1,0,0,0,0,0,0,0,0,24,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,60,H Ashton Marsh,55,NA,167,138,31,33,30,26,26,23,0,0,0,0,1,4,479,153,29,34,0,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,PH,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,KF,NA,28,24,6,10,3,6,6,4,0,0,0,0,0,1,88,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,1,NA,33,20,6,6,8,5,1,5,0,0,0,0,1,1,86,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,2,NA,34,40,6,4,6,4,9,4,0,0,0,0,0,1,108,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,3,NA,35,18,4,5,2,6,4,5,0,0,0,0,0,0,79,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,4,NA,30,30,5,6,6,4,5,5,0,0,0,0,0,1,92,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,5,NA,28,27,5,8,5,2,6,1,0,0,0,0,0,0,82,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,6,NA,28,29,4,7,1,4,6,5,0,0,0,0,0,0,84,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,7,NA,24,27,9,11,9,2,7,2,0,0,0,0,0,2,93,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,8,NA,31,22,5,6,3,4,5,1,0,0,0,0,0,0,77,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,UG,NA,12,8,5,2,5,1,0,1,0,0,0,0,0,0,34,,,,,
2011-2012,1,ATLANTIC,10,Absecon Public Schools,999,District Total,55,NA,283,245,55,65,49,38,50,33,0,0,0,0,1,6,825,246,53,55,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,9,NA,66,68,97,96,117,103.5,56,31,0,0,6,1,0,0,641.5,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,10,NA,46.5,51,83,76,84,74,44,31,0,0,3,0,0,0,492.5,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,11,NA,50,51,77,72.5,73.5,73.5,42,39,1,0,6,5,1,0,491.5,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,12,NA,44.5,56,66,64,64.5,69,46,36,0,0,6,4,0,0,456,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,UG,NA,3,1,21,8,15,8,3,0,0,0,0,0,0,0,59,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,55,NA,210,227,344,316.5,354,328,191,137,1,0,21,10,1,0,2140.5,1411,79,108,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,PF,NA,1,1,1,1,1,6,1,2,0,0,0,0,1,0,15,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,KF,NA,0,4,1,2,39,37,6,9,0,0,3,2,0,0,103,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,1,NA,0,1,4,2,36,36,13,11,0,0,4,2,0,0,109,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,2,NA,2,0,3,4,41,29,11,8,0,0,1,0,0,0,99,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,3,NA,1,0,2,2,21,27,13,8,0,0,5,2,0,0,81,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,4,NA,0,0,3,3,38,28,11,10,0,0,2,0,0,0,95,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,5,NA,4,0,2,3,33,32,5,9,0,0,3,4,0,0,95,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,6,NA,0,1,4,1,29,27,8,9,0,0,3,2,0,0,84,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,7,NA,0,0,2,2,20,22,14,11,0,0,1,1,0,0,73,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,8,NA,0,0,1,0,33,20,8,14,0,0,0,0,0,0,76,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,UG,NA,0,0,1,2,1,2,0,2,0,0,1,0,0,0,9,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,30,Sovereign Avenue School,55,NA,8,7,24,22,292,266,90,93,0,0,23,13,1,0,839,751,51,172,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,KF,NA,1,1,7,8,7,8,8,5,0,0,0,0,0,0,45,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,1,NA,1,1,8,5,5,9,2,5,0,0,0,0,1,0,37,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,2,NA,0,1,6,3,10,12,0,9,0,0,1,0,0,0,42,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,3,NA,0,2,5,2,6,8,2,3,0,0,0,0,0,0,28,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,4,NA,3,1,8,3,7,8,3,3,0,0,0,0,0,1,37,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,5,NA,2,0,7,5,5,11,5,1,0,0,0,0,0,0,36,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,6,NA,1,0,8,4,8,4,3,2,0,0,0,1,0,0,31,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,7,NA,1,3,3,5,15,20,7,10,0,0,0,0,0,0,64,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,8,NA,2,1,6,4,21,11,14,9,0,0,0,0,0,0,68,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,50,Chelsea Heights School,55,NA,11,10,58,39,84,91,44,47,0,0,1,1,1,1,388,319,25,31,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,KF,NA,0,0,2,7,33,35,7,16,0,0,0,0,0,0,100,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,1,NA,0,0,1,2,23,31,7,12,0,0,0,0,0,0,76,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,2,NA,0,0,3,1,29,32,14,9,0,0,1,0,0,0,89,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,3,NA,0,0,0,1,31,30,15,6,0,0,0,0,0,0,83,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,4,NA,1,0,6,0,23,20,9,11,0,0,0,0,0,0,70,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,5,NA,0,1,1,3,20,20,14,10,0,0,1,2,0,0,72,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,6,NA,0,0,2,1,15,18,10,11,0,0,1,2,0,0,60,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,7,NA,1,0,2,3,14,17,5,11,1,0,0,0,0,0,54,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,60,Texas Avenue School,55,NA,2,1,17,18,188,203,81,86,1,0,3,4,0,0,604,538,24,155,0,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,PF,NA,0,0,16,14,4,9,3,1,0,0,0,0,0,0,47,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,KF,NA,0,0,30,23,5,11,3,1,0,0,0,1,0,0,74,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,1,NA,0,1,27,30,7,6,1,3,0,0,0,1,1,0,77,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,2,NA,0,0,27,19,5,9,1,2,0,0,0,0,0,0,63,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,3,NA,1,0,25,18,11,6,1,1,0,0,0,1,0,0,64,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,4,NA,1,1,20,19,10,7,0,0,0,0,2,0,0,0,60,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,5,NA,0,0,21,18,3,7,1,4,0,0,0,1,1,0,56,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,6,NA,0,0,19,16,3,5,0,1,0,0,1,0,0,0,45,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,7,NA,0,0,18,20,4,2,0,1,0,0,0,1,1,0,47,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,8,NA,0,0,19,25,6,11,2,0,0,0,2,0,0,0,65,,,,,
2011-2012,1,ATLANTIC,110,Atlantic City Public Schools,70,New York Avenue School,UG,NA,1,0,9,0,5,0,1,0,0,0,0,0,0,0,16,,,,,
