COUNTY_ID	COUNTY_NAME	DIST_ID	LEA_NAME	SCHOOL_ID	FULL_ID	SCHOOL_NAME	PRGCODE	GRADE_LEVEL	ROW_TOTAL	FREE_LUNCH	REDUCED_PRICE_LUNCH	LEP	MIGRANT	White_total	Black_total	Hispanic_total	Asian_total	Other_total	White_pcnt	black_pnct	Hispanic_pnct	Asian_pnct	Other_pnct	Diversity_index	Address_1	Address_2	City	State	Zip	Concatenate	Concatenate sans zip
1	ATLANTIC	10	ABSECON CITY	60	1060	H Ashton Marsh	55	TOTAL	498	185	28	45	0	305	78	65	21	29	0.612449799	0.156626506	0.130522088	0.042168675	0.058232932	0.578168094	800 IRELAN AVE	 	ABSECON	NJ	08201	800 Irelan Ave, Absecon, NJ 8201	800 Irelan Ave, Absecon, NJ
1	ATLANTIC	10	ABSECON CITY	50	1050	Emma C Attales	55	TOTAL	364	135	24	4	0	241	58	31	2	32	0.662087912	0.159340659	0.085164835	0.005494505	0.087912088	0.521238377	800 IRELAN AVENUE	 	ABSECON	NJ	08201	800 Irelan Avenue, Absecon, NJ 8201	800 Irelan Avenue, Absecon, NJ
19	HUNTERDON	20	ALEXANDRIA TWP	10	2010	Lester D. Wilson Elementary School	55	TOTAL	214	7	1	0	0	191	4	13	4	2	0.892523364	0.018691589	0.060747664	0.018691589	0.009345794	0.19892567	525 COUNTY ROAD 513	 	PITTSTOWN	NJ	08867-9509	525 County Road 513, Pittstown, NJ 08867-9509	525 County Road 513, Pittstown, NJ
19	HUNTERDON	20	ALEXANDRIA TWP	5	205	Alexandria Middle School	55	TOTAL	271	11	1	0	0	248	3	9	10	1	0.915129151	0.011070111	0.033210332	0.036900369	0.003690037	0.159937909	557 COUNTY ROAD 513	 	PITTSTOWN	NJ	08867-9508	557 County Road 513, Pittstown, NJ 08867-9508	557 County Road 513, Pittstown, NJ
41	WARREN	30	ALLAMUCHY TWP	20	3020	Mountain Villa School	55	TOTAL	139	16	1	2	0	113	4	12	4	6	0.81294964	0.028776978	0.086330935	0.028776978	0.043165468	0.328140365	1686 County Rt 517	 	Allamuchy	NJ	07820	1686 County Rt 517, Allamuchy, NJ 7820	1686 County Rt 517, Allamuchy, NJ
41	WARREN	30	ALLAMUCHY TWP	10	3010	ALLAMUCHY TOWNSHIP SCHOOL	55	TOTAL	282	21	2	2	0	240	10	20	5	7	0.85106383	0.035460993	0.070921986	0.017730496	0.024822695	0.268472411	20 JOHNSONBURG ROAD	 	ALLAMUCHY	NJ	07820-0394	20 Johnsonburg Road, Allamuchy, NJ 07820-0394	20 Johnsonburg Road, Allamuchy, NJ
3	BERGEN	40	ALLENDALE BORO	10	4010	Brookside	55	TOTAL	546	3	2	3	0	414	3	30	89	10	0.758241758	0.005494505	0.054945055	0.163003663	0.018315018	0.395114653	100 BROOKSIDE AVE	 	ALLENDALE	NJ	07401	100 Brookside Ave, Allendale, NJ 7401	100 Brookside Ave, Allendale, NJ
3	BERGEN	40	ALLENDALE BORO	20	4020	Hillside Elementary School	55	TOTAL	358	1	2	4	0	281	2	18	44	13	0.784916201	0.005586592	0.05027933	0.122905028	0.036312849	0.364923067	89 HILLSIDE AVENUE	 	ALLENDALE	NJ	07401	89 Hillside Avenue, Allendale, NJ 7401	89 Hillside Avenue, Allendale, NJ
33	SALEM	60	ALLOWAY TWP	20	6020	Alloway Township School	55	TOTAL	383	56	8	0	0	339	18	9	1	16	0.885117493	0.046997389	0.023498695	0.002610966	0.041775457	0.212054074	43 CEDAR ST	 	ALLOWAY	NJ	08001	43 Cedar St, Alloway, NJ 8001	43 Cedar St, Alloway, NJ
41	WARREN	70	ALPHA BORO	10	7010	Alpha Borough School	55	TOTAL	209	48	17	2	0	177	4	26	2	0	0.846889952	0.019138756	0.124401914	0.009569378	0	0.266843708	817 NORTH BOULEVARD	 	ALPHA	NJ	08865-4245	817 North Boulevard, Alpha, NJ 08865-4245	817 North Boulevard, Alpha, NJ
3	BERGEN	80	ALPINE BORO	10	8010	Alpine Elementary School	55	TOTAL	153	0	0	4	0	114	6	7	15	11	0.745098039	0.039215686	0.045751634	0.098039216	0.071895425	0.42641719	500 HILLSIDE AVENUE	 	ALPINE	NJ	07620	500 Hillside Avenue, Alpine, NJ 7620	500 Hillside Avenue, Alpine, NJ
37	SUSSEX	90	ANDOVER REG	10	9010	Florence M. Burd	55	TOTAL	269	34	3	1	0	224	5	27	7	6	0.832713755	0.018587361	0.100371747	0.026022305	0.022304833	0.294993159	219 NEWTON SPARTA ROAD	(ANDOVER TOWNSHIP) 	NEWTON	NJ	07860	219 Newton Sparta Road, Newton, NJ 7860	219 Newton Sparta Road, Newton, NJ
37	SUSSEX	90	ANDOVER REG	40	9040	Long Pond School	55	TOTAL	238	20	8	3	0	214	2	14	8	0	0.899159664	0.008403361	0.058823529	0.033613445	0	0.186851211	707 LIMECREST RD	(ANDOVER TOWNSHIP) 	NEWTON	NJ	07860	707 Limecrest Rd, Newton, NJ 7860	707 Limecrest Rd, Newton, NJ
25	MONMOUTH	100	ASBURY PARK CITY	100	100100	Thurgood Marshall Elementary School	55	TOTAL	445	348	0	64	0	14	158	270	3	0	0.031460674	0.35505618	0.606741573	0.006741573	0	0.50476455	600 MONROE AVENUE	 	ASBURY PARK	NJ	07712	600 Monroe Avenue, Asbury Park, NJ 7712	600 Monroe Avenue, Asbury Park, NJ
25	MONMOUTH	100	ASBURY PARK CITY	70	10070	Asbury Park Middle School	55	TOTAL	377	348	0	24	0	9	235	133	0	0	0.023872679	0.623342175	0.352785146	0	0	0.486417269	1200 BANGS AVENUE	 	ASBURY PARK	NJ	07712-6314	1200 Bangs Avenue, Asbury Park, NJ 07712-6314	1200 Bangs Avenue, Asbury Park, NJ
25	MONMOUTH	100	ASBURY PARK CITY	40	10040	Bradley Elementary School	55	TOTAL	375	283	0	4	0	9	242	123	0	1	0.024	0.645333333	0.328	0	0.002666667	0.475377778	1100 THIRD AVENUE	 	ASBURY PARK	NJ	07712-5798	1100 Third Avenue, Asbury Park, NJ 07712-5798	1100 Third Avenue, Asbury Park, NJ
25	MONMOUTH	100	ASBURY PARK CITY	10	10010	Asbury Park High School	55	TOTAL	341	296	2	51	0	6	225.5	109.5	0	0	0.017595308	0.661290323	0.32111437	0	0	0.459271076	1001 SUNSET AVENUE	 	ASBURY PARK	NJ	07712-5099	1001 Sunset Avenue, Asbury Park, NJ 07712-5099	1001 Sunset Avenue, Asbury Park, NJ
25	MONMOUTH	100	ASBURY PARK CITY	20	10020	BARRACK OBAMA ELEMENTARY SCHOOL	55	TOTAL	381	302	0	23	0	7	256	117	0	1	0.018372703	0.67191601	0.307086614	0	0.002624672	0.453882241	1300 BANGS AVENUE	 	ASBURY PARK	NJ	07712-6368	1300 Bangs Avenue, Asbury Park, NJ 07712-6368	1300 Bangs Avenue, Asbury Park, NJ
1	ATLANTIC	110	ATLANTIC CITY	10	11010	Atlantic City High School	55	TOTAL	1954	1215	54	141	0	321	541	707	368	17	0.164278403	0.276867963	0.361821904	0.188331627	0.008700102	0.729897153	1400 N Albany Avenue	 	Atlantic City	NJ	08401-6153	1400 N Albany Avenue, Atlantic City, NJ 08401-6153	1400 N Albany Avenue, Atlantic City, NJ
