COUNTY_ID,COUNTY_NAME,DIST_ID,LEA_NAME,SCHOOL_ID,SCHOOL_NAME,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_PRICE_LUNCH,LEP,MIGRANT,White_total,Black_total,Hispanic_total,Asian_total,Other_total,White_pcnt,black_pnct,Hispanic_pnct,Asian_pnct,Other_pnct,Diversity_index,District_diversity_index,DI_diff_btwn_schl_distrct,District_pnct_white,Pnct_white_diff
80,CHARTERS,7115,Learning Community CS,960,Learning Community Charter School,55,TOTAL,96,84,54,52,64,58,58,65,1,1,5,3,21,22,584,165,55,0,0,180,106,122,123,53,0.308219178,0.181506849,0.20890411,0.210616438,0.090753425,0.775819807,0.775819807,0,0.308219178,0
80,CHARTERS,6030,The Ethical Community Charter School,912,The Ethical Community Charter School,55,TOTAL,50,40,23,18,41,48,50,43,2,0,0,0,15,13,343,134,0,0,0,90,41,89,93,30,0.262390671,0.119533528,0.259475219,0.271137026,0.087463557,0.768370322,0.768370322,0,0.262390671,0
23,MIDDLESEX,3620,NORTH BRUNSWICK TWP,055,Arthur M. Judd,55,TOTAL,130,112,126,83,126,98,100,88,1,0,1,0,22,17,904,253,35,39,0,242,209,224,188,41,0.267699115,0.23119469,0.247787611,0.207964602,0.045353982,0.76818124,0.75162672,2.202492186,0.199587629,34.12610619
23,MIDDLESEX,4660,SAYREVILLE BORO,070,Dwight D. Eisenhower Elementary School,55,TOTAL,89,99,41,49,58,65,69,58,0,1,1,0,16,17,563,156,42,20,0,188,90,123,127,35,0.3339254,0.159857904,0.218472469,0.225577265,0.062166963,0.760459225,0.722688271,5.226451756,0.414915534,-19.51966783
01,ATLANTIC,1690,GALLOWAY TWP,045,Reeds Road Elementary School,55,TOTAL,106,108,52,51,68,66,43,54,0,1,0,1,31,18,599,285,58,28,0,214,103,134,97,51,0.357262104,0.171953255,0.223706177,0.161936561,0.085141903,0.75927882,0.708108766,7.226298679,0.450091296,-20.62452521
80,CHARTERS,6103,Empowerment Academy Charter School,994,Empowerment Academy Charter School,55,TOTAL,15,11,21,31,27,27,24,25,1,1,0,0,2,5,190,99,27,64,0,26,52,54,49,9,0.136842105,0.273684211,0.284210526,0.257894737,0.047368421,0.756842105,0.756842105,0,0.136842105,0
25,MONMOUTH,1260,EATONTOWN BORO,060,Margaret L Vetter,55,TOTAL,40,28,37,38,48,48,30,22,0,0,0,0,5,4,300,173,23,38,0,68,75,96,52,9,0.226666667,0.25,0.32,0.173333333,0.03,0.752777778,0.708360998,6.270359349,0.433333333,-47.69230769
17,HUDSON,2390,JERSEY CITY,002,Infinity Institute,55,TOTAL,35,22,31,42,35,43,42,29,1,0,2,0,0,0,282,195,25,6,0,57,73,78,71,3,0.20212766,0.258865248,0.276595745,0.25177305,0.010638298,0.752125145,0.715250518,5.155484062,0.121507567,66.34985348
17,HUDSON,2390,JERSEY CITY,270,PS # 33,55,TOTAL,27,33,57,58,59,64,54,43,2,0,1,3,4,4,409,324,31,78,0,60,115,123,97,14,0.146699267,0.281173594,0.300733496,0.237163814,0.034229829,0.751561743,0.715250518,5.076714291,0.121507567,20.73261789
23,MIDDLESEX,4130,PISCATAWAY TWP,100,Knollwood Elementary School,55,TOTAL,55,53,67,60,29,40,76,90,0,2,3,0,8,11,494,99,30,31,0,108,127,69,166,24,0.218623482,0.25708502,0.139676113,0.336032389,0.048582996,0.751323575,0.7431717,1.096903405,0.166793287,31.07450902
13,ESSEX,5680,WEST ORANGE TOWN,140,MOUNT PLEASANT ELEMENTARY SCHOOL,55,TOTAL,56,36,63,58,53,51,23,17,2,1,1,0,17,2,380,84,19,6,0,92,121,104,40,23,0.242105263,0.318421053,0.273684211,0.105263158,0.060526316,0.75034626,0.704778512,6.465541743,0.215744967,12.21826679
23,MIDDLESEX,4130,PISCATAWAY TWP,053,Conackamack Middle School,55,TOTAL,69,62,67,63,39,41,71,68,0,0,0,1,3,5,489,105,25,11,0,131,130,80,139,9,0.267893661,0.265848671,0.163599182,0.284253579,0.018404908,0.749653941,0.7431717,0.872240071,0.166793287,60.61417436
23,MIDDLESEX,3620,NORTH BRUNSWICK TWP,065,Linwood Middle School,55,TOTAL,138,141,159,131,225,186,177,156,0,0,2,3,3,7,1328,475,78,44,0,279,290,411,333,15,0.210090361,0.218373494,0.309487952,0.250753012,0.011295181,0.749387611,0.75162672,-0.297901765,0.199587629,5.26221622
23,MIDDLESEX,3620,NORTH BRUNSWICK TWP,060,John Adams,55,TOTAL,57,55,59,66,79,92,106,108,0,0,3,0,6,11,642,183,29,26,0,112,125,171,214,20,0.174454829,0.19470405,0.26635514,0.333333333,0.031152648,0.748629186,0.75162672,-0.39880614,0.199587629,-12.59236374
23,MIDDLESEX,4130,PISCATAWAY TWP,060,Arbor Elementary School,55,TOTAL,39,23,79,62,59,70,80,85,0,0,1,1,5,16,520,144,62,17,0,62,141,129,165,23,0.119230769,0.271153846,0.248076923,0.317307692,0.044230769,0.748076923,0.7431717,0.660039066,0.166793287,-28.51584647
23,MIDDLESEX,3620,NORTH BRUNSWICK TWP,040,North Brunswick Township High School,55,TOTAL,206,196,213,177.5,299,275,191,211,0,0,0,4,4,9,1785.5,603.5,108,44,0,402,390.5,574,402,17,0.225147018,0.218706245,0.321478577,0.225147018,0.009521143,0.747346092,0.75162672,-0.569515204,0.199587629,12.80609872
23,MIDDLESEX,4130,PISCATAWAY TWP,055,Quibbletown Middle School,55,TOTAL,43,36,71,94,82,59,87,77,0,1,1,0,6,6,563,172,57,16,0,79,165,141,164,14,0.140319716,0.293072824,0.25044405,0.291296625,0.024866785,0.746224394,0.7431717,0.41076573,0.166793287,-15.87208426
23,MIDDLESEX,4130,PISCATAWAY TWP,065,Dwight D. Eisenhower Elementary School,55,TOTAL,33,32,66,57,71,82,91,102,5,5,1,1,12,6,564,160,63,48,0,65,123,153,193,30,0.115248227,0.218085106,0.271276596,0.342198582,0.053191489,0.745636537,0.7431717,0.331664657,0.166793287,-30.90355785
23,MIDDLESEX,4660,SAYREVILLE BORO,075,Harry S. Truman Elementary School,55,TOTAL,94,91,38,29,56,68,79,57,0,2,1,0,11,10,536,150,30,9,0,185,67,124,136,24,0.345149254,0.125,0.231343284,0.253731343,0.044776119,0.745342782,0.722688271,3.134755658,0.414915534,-16.8145741
17,HUDSON,2390,JERSEY CITY,210,Mahatma K. Gandhi School,55,TOTAL,179,154,129,127,170,151,243,260,3,4,8,4,6,7,1445,995,81,436,0,333,256,321,503,32,0.230449827,0.17716263,0.222145329,0.348096886,0.022145329,0.744495875,0.715250518,4.088827118,0.121507567,89.65882767
80,CHARTERS,6082,Beloved Community Charter School,963,BelovED Community Charter School,55,TOTAL,40,32,107,132,109,105,76,74,3,1,4,3,16,18,720,459,80,61,0,72,239,214,150,45,0.1,0.331944444,0.297222222,0.208333333,0.0625,0.744162809,0.744162809,0,0.1,0
