CO_CODE,COUNTY_NAME,DIST_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,POSITION,GENDER,WHITE,WH_PCT,BLACK,BL_PCT,HISPANIC,HI_PCT,ASIAN,AS_PCT,AMERICAN_INDIAN,AM_PCT,PACIFIC_ISLANDER,PI_PCT,OTHER,OT_PCT,MIN_PCT,TOTAL,TEACH_CONCAT_CODE,Student_percent_minority,Teach_vs_student_pnct_minority
19,HUNTERDON,920,CLINTON TWP,50,Clinton Township Middle School,TEACHER,Total,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,41,989,1,-100
25,MONMOUTH,3830,OCEANPORT BORO,30,MAPLE PLACE MIDDLE SCHOOL,TEACHER,Total,19.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,3885,1,-100
31,PASSAIC,3975,PASSAIC CO ED SERV COMM,300,PCESC Academy at Preakness,TEACHER,Total,0.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4306,1,-100
13,ESSEX,2330,IRVINGTON TOWNSHIP,136,UNIVERSITY ELEMENTARY SCHOOL,TEACHER,Total,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2479,1,-100
29,OCEAN,4190,PLUMSTED TWP,40,New Egypt Primary School,TEACHER,Total,22.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,4259,0.998198199,-99.8198199
33,SALEM,4075,PENNSVILLE,90,Valley Park Elementary School,TEACHER,Total,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4198,0.998062015,-99.8062015
13,ESSEX,2330,IRVINGTON TOWNSHIP,90,CHANCELLOR AVENUE SCHOOL,TEACHER,Total,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2433,0.997826086,-99.7826086
23,MIDDLESEX,3845,OLD BRIDGE TWP,170,William A. Miller Elementary School,TEACHER,Total,24.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,4038,0.99704142,-99.704142
29,OCEAN,4190,PLUMSTED TWP,80,New Egypt Middle School,TEACHER,Total,33.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7,4299,0.996835442,-99.6835442
33,SALEM,4075,PENNSVILLE,78,PENN BEACH ELEMENTARY SCHOOL,TEACHER,Total,22.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,4186,0.996569468,-99.6569468
7,CAMDEN,800,CHERRY HILL TWP,60,Alternative High School,TEACHER,Total,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,7,867,0.995402299,-99.5402299
3,BERGEN,3930,PARAMUS BORO,90,Midland Elementary School,TEACHER,Total,17.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,4023,0.995055625,-99.5055625
1,ATLANTIC,4240,PORT REPUBLIC CITY,50,Port Republic Elementary School,TEACHER,Total,12.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,4291,0.994708995,-99.4708995
31,PASSAIC,4230,POMPTON LAKES BORO,70,Lincoln School,TEACHER,Total,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4331,0.994708994,-99.4708994
41,WARREN,4200,POHATCONG TWP,40,Pohatcong Township School,TEACHER,Total,26.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,4281,0.99410609,-99.410609
27,MORRIS,785,SCH DIST OF THE CHATHAMS,50,Lafayette Avenus School,TEACHER,Total,52.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3,862,0.993883792,-99.3883792
31,PASSAIC,3975,PASSAIC CO ED SERV COMM,90,Skylands School fot the Exceptional,TEACHER,Total,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4096,0.993467934,-99.3467934
33,SALEM,1350,ELSINBORO TWP,50,Elsinboro Township School,TEACHER,Total,13.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,1433,0.993197279,-99.3197279
23,MIDDLESEX,3845,OLD BRIDGE TWP,130,Memorial Elementary School,TEACHER,Total,31.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2,3998,0.991967872,-99.1967872
7,CAMDEN,940,COLLINGSWOOD BORO,50,James A. Garfield Elementary School,TEACHER,Total,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11,997,0.991847826,-99.1847826
29,OCEAN,4190,PLUMSTED TWP,50,Dr. Gerald H. Woehr Elementary School,TEACHER,Total,39.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,4269,0.98948949,-98.948949
3,BERGEN,3940,PARK RIDGE BORO,70,West Ridge Elementary School,TEACHER,Total,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4013,0.989436619,-98.9436619
29,OCEAN,4105,PINELANDS REGIONAL,60,PINELANDS REGIONAL JUNIOR HIGH SCHOOL,TEACHER,Total,79.7,98.8,0,0,1,1.2,0,0,0,0,0,0,0,0,1.2,80.7,4194,1,-98.8
80,CHARTERS,6060,Atlantic City Community Charter School,942,Atlantic City Community Charter School,TEACHER,Total,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7082,0.986666668,-98.6666668
41,WARREN,4100,PHILLIPSBURG TOWN,50,PHILLIPSBURG HIGH SCHOOL,TEACHER,Total,121,98.4,0,0,2,1.6,0,0,0,0,0,0,0,0,1.6,123,4191,1,-98.4
1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elementary School,TEACHER,Total,34.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,581,0.983492615,-98.3492615
41,WARREN,5450,WARREN CO SPECIAL SERVICE,50,Warren County Special Services School,TEACHER,Total,10.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,5541,0.983132531,-98.3132531
3,BERGEN,3760,OAKLAND BORO,40,Dogwood Hill Elementary School,TEACHER,Total,26.3,98.5,0,0,0.4,1.5,0,0,0,0,0,0,0,0,1.5,26.7,3803,0.996527777,-98.1527777
29,OCEAN,2550,LAVALLETTE BORO,50,Lavallette Elementary School,TEACHER,Total,17.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,2629,0.981132076,-98.1132076
7,CAMDEN,940,COLLINGSWOOD BORO,40,Collingswood Middle School,TEACHER,Total,39.7,99.5,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0.5,39.9,987,0.984939759,-97.9939759
25,MONMOUTH,3810,OCEAN TWP,60,Ocean Township Elementary School,TEACHER,Total,42.4,98.8,0,0,0.5,1.2,0,0,0,0,0,0,0,0,1.2,42.9,3895,0.991495393,-97.9495393
3,BERGEN,3710,NORTHERN VALLEY REGIONAL,300,Northern Valley Region III,TEACHER,Total,36.8,98.9,0,0,0,0,0.4,1.1,0,0,0,0,0,0,1.1,37.2,4013,0.989436619,-97.8436619
13,ESSEX,3750,NUTLEY TOWN,90,Spring Garden School,TEACHER,Total,27.2,99.3,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0.7,27.4,3853,0.982857142,-97.5857142
29,OCEAN,4220,POINT PLEASANT BEACH BORO,60,G. Harold Antrim Elementary School,TEACHER,Total,37.7,97.9,0,0,0.8,2.1,0,0,0,0,0,0,0,0,2.1,38.5,4309,0.994565218,-97.3565218
29,OCEAN,4210,POINT PLEASANT BORO,60,Ocean Road Elementary School,TEACHER,Total,41.5,97.6,0,0,1,2.4,0,0,0,0,0,0,0,0,2.4,42.5,4299,0.996835442,-97.2835442
23,MIDDLESEX,2370,JAMESBURG BORO,75,GRACE M. BRECKWEDEL MIDDLE SCHOOL,TEACHER,Total,15.1,97.4,0,0,0,0,0.4,2.6,0,0,0,0,0,0,2.6,15.5,2468,0.997630332,-97.1630332
31,PASSAIC,3975,PASSAIC CO ED SERV COMM,100,Hope Academy,TEACHER,Total,8.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,4106,0.969696969,-96.9696969
41,WARREN,1840,GREENWICH TWP,40,Greenwich School,TEACHER,Total,42.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,1921,0.968421053,-96.8421053
15,GLOUCESTER,5500,WASHINGTON TWP,26,CHESTNUT RIDGE MIDLE SCHOOL,TEACHER,Total,60.9,98.4,0,0,1,1.6,0,0,0,0,0,0,0,0,1.6,61.9,5541,0.983132531,-96.7132531
33,SALEM,4150,PITTSGROVE TWP,60,OLIVET ELEMENTARY SCHOOL,TEACHER,Total,28.1,97.9,0,0,0,0,0,0,0.6,2.1,0,0,0,0,2.1,28.7,4243,0.988023952,-96.7023952
33,SALEM,4150,PITTSGROVE TWP,70,PITTSGROVE TOWNSHIP MIDDLE SCHOOL,TEACHER,Total,35.7,97.3,1,2.7,0,0,0,0,0,0,0,0,0,0,2.7,36.7,4253,0.993877551,-96.6877551
37,SUSSEX,2490,LAFAYETTE TWP,50,LAFAYETTE TOWNSHIP SCHOOL,TEACHER,Total,26.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,2577,0.966224367,-96.6224367
13,ESSEX,3750,NUTLEY TOWN,110,YANTACAW SCHOOL,TEACHER,Total,33.7,96.6,0,0,1.2,3.4,0,0,0,0,0,0,0,0,3.4,34.9,3873,1,-96.6
27,MORRIS,820,CHESTER TWP,30,BRAGG ELEMENTARY SCHOOL,TEACHER,Total,37,97.4,0,0,1,2.6,0,0,0,0,0,0,0,0,2.6,38,877,0.989492119,-96.3492119
29,OCEAN,2360,JACKSON TWP,44,Howard C. Johnson Elementary School,TEACHER,Total,40.9,96.2,1,2.4,0.6,1.4,0,0,0,0,0,0,0,0,3.8,42.5,2433,0.997826086,-95.9826086
1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,300,Atlantic County Alternative High School,TEACHER,Total,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,421,0.95945946,-95.945946
41,WARREN,4100,PHILLIPSBURG TOWN,60,ANDOVER MORRIS ELEMENTARY SCHOOL,TEACHER,Total,27,96.4,0,0,1,3.6,0,0,0,0,0,0,0,0,3.6,28,4201,0.995391705,-95.9391705
80,CHARTERS,6182,International Academy of Trenton Charter School,913,International Academy of Trenton Charter School,TEACHER,Total,23,95.8,1,4.2,0,0,0,0,0,0,0,0,0,0,4.2,24,7175,1,-95.8
3,BERGEN,4300,RAMAPO-INDIAN HILL REG,50,RAMAPO HIGH SCHOOL,TEACHER,Total,100.8,97.3,1,1,1,1,0.8,0.8,0,0,0,0,0,0,2.7,103.6,4353,0.984705882,-95.7705882
3,BERGEN,2080,HASBROUCK HEIGHTS BORO,80,Lincoln Elementary School,TEACHER,Total,31,100,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2163,0.953170029,-95.3170029
33,SALEM,4150,PITTSGROVE TWP,80,ELMER ELEMENTARY SCHOOL,TEACHER,Total,15.7,97.5,0,0,0,0,0,0,0.4,2.5,0,0,0,0,2.5,16.1,4263,0.978142076,-95.3142076
27,MORRIS,785,SCH DIST OF THE CHATHAMS,80,Southern Boulevard School,TEACHER,Total,39.5,95.2,1,2.4,0,0,1,2.4,0,0,0,0,0,0,4.8,41.5,892,1,-95.2
29,OCEAN,4210,POINT PLEASANT BORO,30,Point Pleasant Borough High School,TEACHER,Total,76,96.2,0,0,0,0,1,1.3,1,1.3,0,0,1,1.3,3.8,79,4269,0.98948949,-95.148949
